run_name,model_name,benchmark_name,benchmark_name_original,base_name,architecture,optimization,dataset_size,accuracy,runtime,experiment_type
replication_evel_results,replicate_tydamin_ep35,tydamin_sample_5hops,tydamin_sample_5hops,tydamin_sample_5hops,,,185716.0,84.41,877,Only Ghidra
replication_evel_results,replicate_tydamin_ep35,Dragon,Dragon,Dragon,,,,,225,Only Ghidra
replication_evel_results,replicate_tydamin_ep35,coreutils_x64_O0_5hops,coreutils_x64_O0_5hops,coreutils,x64,O0,55613.0,74.92,229,Only Ghidra
replication_evel_results,replicate_tydamin_ep35,Dragon,Dragon,Dragon,,,,,223,Only Ghidra
replication_evel_results,replicate_tydamin_ep35,coreutils_x86_O1_5hops,coreutils_x86_O1_5hops,coreutils,x86,O1,46966.0,51.75,226,Only Ghidra
replication_evel_results,replicate_tydamin_ep35,Dragon,Dragon,Dragon,,,,,305,Only Ghidra
replication_evel_results,replicate_tydamin_ep35,coreutils_x64_O3_5hops,coreutils_x64_O3_5hops,coreutils,x64,O3,62000.0,73.24,309,Only Ghidra
replication_evel_results,replicate_tydamin_ep35,Dragon,Dragon,Dragon,,,,,643,Only Ghidra
replication_evel_results,replicate_tydamin_ep35,coreutils_arm64_O3_5hops,coreutils_arm64_O3_5hops,coreutils,arm64,O3,118272.0,84.91,650,Only Ghidra
replication_evel_results,replicate_tydamin_ep35,Dragon,Dragon,Dragon,,,,,203,Only Ghidra
replication_evel_results,replicate_tydamin_ep35,coreutils_x86_O0_5hops,coreutils_x86_O0_5hops,coreutils,x86,O0,58662.0,48.71,207,Only Ghidra
replication_evel_results,replicate_tydamin_ep35,Dragon,Dragon,Dragon,,,,,722,Only Ghidra
replication_evel_results,replicate_tydamin_ep35,coreutils_armhf_O3_5hops,coreutils_armhf_O3_5hops,coreutils,armhf,O3,119105.0,86.91,729,Only Ghidra
replication_evel_results,replicate_tydamin_ep35,Dragon,Dragon,Dragon,,,,,225,Only Ghidra
replication_evel_results,replicate_tydamin_ep35,coreutils_x64_O2_5hops,coreutils_x64_O2_5hops,coreutils,x64,O2,45954.0,71.42,229,Only Ghidra
replication_evel_results,replicate_tydamin_ep35,Dragon,Dragon,Dragon,,,,,297,Only Ghidra
replication_evel_results,replicate_tydamin_ep35,coreutils_x86_O3_5hops,coreutils_x86_O3_5hops,coreutils,x86,O3,73242.0,54.75,302,Only Ghidra
replication_evel_results,replicate_tydamin_ep35,Dragon,Dragon,Dragon,,,,,310,Only Ghidra
replication_evel_results,replicate_tydamin_ep35,coreutils_arm64_O0_5hops,coreutils_arm64_O0_5hops,coreutils,arm64,O0,79462.0,89.3,315,Only Ghidra
replication_evel_results,replicate_tydamin_ep35,Dragon,Dragon,Dragon,,,,,219,Only Ghidra
replication_evel_results,replicate_tydamin_ep35,coreutils_x86_O2_5hops,coreutils_x86_O2_5hops,coreutils,x86,O2,51738.0,52.8,224,Only Ghidra
replication_evel_results,replicate_tydamin_ep35,Dragon,Dragon,Dragon,,,,,496,Only Ghidra
