base_name,architecture,optimization,Binary Ninja on Ghidra,IDA Pro on Ghidra,Only Binary Ninja,Only Ghidra,Only IDA Pro
complex_5hops,,,74.4,42.46,99.92,66.47,65.62
coreutils,arm64,O0,92.86,50.76,99.76,89.3,81.05
coreutils,arm64,O1,92.65,47.1,99.99,86.31,84.48
coreutils,arm64,O2,93.37,45.44,100.0,83.85,84.81
coreutils,arm64,O3,92.7,39.4,99.85,84.91,87.61
coreutils,armhf,O0,92.84,45.06,,85.81,
coreutils,armhf,O1,93.6,42.37,,84.18,
coreutils,armhf,O2,93.63,40.56,,86.85,
coreutils,armhf,O3,92.68,37.91,,86.91,
coreutils,x64,O0,59.2,48.48,99.86,74.92,67.63
coreutils,x64,O1,62.89,39.57,99.98,72.4,58.69
coreutils,x64,O2,63.49,41.4,99.97,71.42,58.46
coreutils,x64,O3,67.81,37.38,99.88,73.24,58.6
coreutils,x86,O0,56.73,28.41,,48.71,
coreutils,x86,O1,65.49,23.61,,51.75,
coreutils,x86,O2,65.91,22.43,,52.8,
coreutils,x86,O3,70.07,26.33,,54.75,
resym_test_5hops,,,43.67,35.87,99.9,86.87,74.95
tydamin_sample_5hops,,,46.71,47.91,99.87,84.41,68.03
